gvkey,datadate,fyearq,tic,actq,ancq,aoq,atq,aul3q,ceiexbillq,ceqq,cheq,chq,cogsq,cshiq,cshoq,dpq,drcq,drltq,lctq,ltq,rdipq,revtq,stkcpay,teqq,tfvaq,tfvlq,xrdq,xsgaq
1878,20130131,2012,ADSK,2552.4,1756,1641.1,4308.4,32.4,,2043.2,1954.3,1612.2,27.3,223.6,223.6,34.7,647,187.6,1043.7,2265.2,0,606.9,120.8,2043.2,2041.9,3.9,149.4,453.1
1878,20130430,2013,ADSK,2511.1,1778.6,1649.6,4289.7,30.1,,2084.5,2087.9,1655.8,45.2,224.4,224.4,33.1,663.7,187.7,979.8,2205.2,0,570.4,24.2,2084.5,1882.2,0.7,150.8,410.3
1878,20130731,2013,ADSK,2436.5,1786.8,1653.4,4223.3,31.1,,2051.1,1997.9,1401,45.1,222.5,222.5,32,636.9,168.6,955.9,2172.2,0,561.7,47.2,2051.1,1867.4,0.4,148.9,399.3
1878,20131031,2013,ADSK,2517.9,1803.6,1669.5,4321.5,31.4,,2161.9,2060.5,1473.4,43.9,224.6,224.6,30.6,610.8,154.9,948.1,2159.6,0,555.2,69.1,2161.9,1854.4,2.2,149,408.2
1878,20140131,2013,ADSK,2835,1760,1629.7,4595,29.3,,2261.5,2267.1,1853,47.7,226.7,226.7,33.2,696.2,204.4,1071.5,2333.5,0,586.6,95.8,2261.5,1557.2,,162.4,447.7
1878,20140430,2014,ADSK,2590.3,2058.3,1916.2,4648.6,25,,2288.7,2119.7,1609.6,53.5,227.5,227.5,36.1,749.7,213.8,1118.7,2359.9,0,592.5,24.4,2288.7,1579,0,170.5,458.4
1878,20140731,2014,ADSK,2450,2253.4,2106.5,4703.4,18.3,,2283.4,1906.4,1323.1,60.8,227.2,227.2,37.2,763,217.8,1157.3,2420,0,637.1,53.8,2283.4,1391,0,179.3,488.4
1878,20141031,2014,ADSK,2458.7,2278.1,2117.7,4736.8,16.9,,2268.5,1901.4,1345,58.9,227.2,227.2,36.6,775.1,231.1,1193.3,2468.3,0,618,85.2,2268.5,1520,0,183.9,507.9
1878,20150131,2014,ADSK,2671.3,2242.5,2083.3,4913.8,6,,2219.2,2026.4,1410.6,62.8,227,227,36,900.8,256.3,1400.1,2694.6,0,664.6,120.4,2219.2,1609.8,0,191.5,551.8
1878,20150430,2015,ADSK,2341,2434.9,2278,4775.9,17.8,,2224.4,1830.9,1182.7,62.9,227.6,227.6,37.8,893.4,260.3,1270.3,2551.5,0,646.5,36.2,2224.4,1652.7,0,194.5,524.3
1878,20150731,2015,ADSK,2899.8,2442,2283.8,5341.8,4.7,,1902.1,2389.9,1473.1,65,226.2,226.2,36.2,881.6,354.7,1313.8,3439.7,0,609.5,90.9,1902.1,2453.9,0,193.1,504
